district,year,month,mean_modal_price,mean_min_price,mean_max_price,mean_price_spread,mean_arrivals,reporting_days,is_imputed
Agra,2006,1,906.1538461538462,876.9230769230769,926.1538461538462,49.23076923076928,,13,0
Agra,2006,2,927.9545454545455,913.1818181818181,944.7727272727273,31.590909090909122,,22,0
Agra,2006,3,945.0,931.0,953.0,22.0,,10,0
Agra,2006,4,880.0,862.2857142857142,887.0952380952381,24.809523809523853,,0,1
Agra,2006,5,815.0,793.5714285714286,821.1904761904761,27.619047619047592,,21,0
Agra,2006,6,817.8965517241379,796.8620689655172,831.6896551724138,34.827586206896626,,26,0
Agra,2006,7,816.7619047619048,792.4761904761905,827.2380952380952,34.7619047619047,,20,0
Agra,2006,8,883.125,860.2083333333334,894.375,34.16666666666663,,24,0
Agra,2006,9,971.4,952.6,986.4,33.799999999999955,,25,0
Agra,2006,10,976.1363636363636,956.5909090909091,999.3181818181819,42.72727272727275,,22,0
Agra,2006,11,1054.5652173913043,1029.4782608695652,1085.2173913043478,55.73913043478251,,23,0
Agra,2006,12,1072.0,1053.8,1087.4,33.600000000000136,,25,0
Agra,2007,1,1069.2307692307693,1048.2692307692307,1081.3461538461538,33.076923076923094,,26,0
Agra,2007,2,1020.7142857142857,991.9047619047619,1034.7619047619048,42.85714285714289,,21,0
Agra,2007,3,1001.2,977.8,1013.0,35.200000000000045,,25,0
Agra,2007,4,968.75,945.625,990.625,45.0,,8,0
Agra,2007,5,915.9090909090909,889.0909090909091,929.5454545454545,40.45454545454538,,22,0
Agra,2007,6,880.8095238095239,861.1904761904761,895.2380952380952,34.04761904761904,,21,0
Agra,2007,7,960.0,942.5,971.25,28.75,,8,0
Agra,2007,8,967.9166666666666,948.75,981.4583333333334,32.70833333333337,,24,0
Agra,2007,9,948.4042553191489,930.9574468085107,964.5744680851063,33.617021276595665,,27,0
Agra,2007,10,948.6842105263158,923.9473684210526,967.8947368421053,43.947368421052715,,26,0
Agra,2007,11,963.6666666666666,928.6666666666666,980.6666666666666,52.0,,13,0
Agra,2007,12,985.3943661971831,963.3098591549295,999.6478873239437,36.33802816901414,,30,0
Agra,2008,1,991.1864406779661,974.8305084745763,1004.3220338983051,29.49152542372883,,26,0
Agra,2008,2,1015.78125,994.6875,1030.078125,35.390625,,26,0
Agra,2008,3,1038.135593220339,1016.1864406779661,1051.6949152542372,35.50847457627117,,22,0
Agra,2008,4,1031.8954248366013,1010.6862745098039,1049.7712418300653,39.0849673202614,,30,0
Agra,2008,5,1008.1411764705882,993.7352941176471,1019.3529411764706,25.617647058823536,,30,0
Agra,2008,6,1015.4191616766467,1004.251497005988,1024.7005988023952,20.449101796407263,,29,0
Agra,2008,7,1009.8740740740741,999.1111111111111,1022.0370370370371,22.92592592592598,,26,0
Agra,2008,8,998.7226277372263,987.3138686131387,1009.2335766423357,21.919708029197068,,29,0
Agra,2008,9,966.9230769230769,955.3418803418804,979.5299145299145,24.18803418803418,,30,0
